Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/c/coopece01.shtml"">Cecil Cooper</a>",ML4,30,678,622,96,219,25,335,122,39,17,42,.352,.387,.539,.926,.403,6.81
"<a href=""https://www.baseball-reference.com/players/c/coopega01.shtml"">Gary Cooper</a>",ATL,23,2,2,3,0,0,0,0,0,2,1,.000,.000,.000,.000,.000,0.07
"<a href=""https://www.baseball-reference.com/players/c/corcoti01.shtml"">Tim Corcoran</a>",DET,27,177,153,20,44,3,62,18,22,0,10,.288,.379,.405,.784,.355,-0.02
"<a href=""https://www.baseball-reference.com/players/c/coreyma01.shtml"">Mark Corey</a>",BAL,24,41,36,7,10,1,15,2,5,0,7,.278,.366,.417,.783,.357,-0.09
"<a href=""https://www.baseball-reference.com/players/c/correvi01.shtml"">Vic Correll</a>",CIN,34,19,19,1,8,0,9,3,0,0,2,.421,.421,.474,.895,.403,0.01
"<a href=""https://www.baseball-reference.com/players/c/coseyra01.shtml"">Ray Cosey</a>",OAK,24,9,9,0,1,0,1,0,0,0,0,.111,.111,.111,.222,.101,-0.13
"<a href=""https://www.baseball-reference.com/players/c/cowenal01.shtml"">Al Cowens</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecowenal01"" style=""display:none;""></input><label for=""footnotecowenal01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcowenal01"">CAL, DET</div></span>",28,584,522,69,140,6,184,59,49,6,61,.268,.331,.352,.684,.307,0.48
"<a href=""https://www.baseball-reference.com/players/c/coxje01.shtml"">Jeff Cox</a>",OAK,24,194,169,20,36,0,39,9,14,8,23,.213,.273,.231,.504,.239,0.41
"<a href=""https://www.baseball-reference.com/players/c/coxla01.shtml"">Larry Cox</a>",SEA,32,271,243,18,49,4,71,20,19,1,36,.202,.260,.292,.552,.255,0.20
"<a href=""https://www.baseball-reference.com/players/c/coxte02.shtml"">Ted Cox</a>",SEA,25,269,247,17,60,2,75,23,19,0,25,.243,.295,.304,.598,.271,-0.36
"<a href=""https://www.baseball-reference.com/players/c/craigro02.shtml"">Rod Craig</a>",SEA,22,264,240,30,57,3,83,20,17,3,35,.238,.293,.346,.639,.287,-0.77
"<a href=""https://www.baseball-reference.com/players/c/cromawa01.shtml"">W. Cromartie</a>",MON,26,657,597,74,172,14,257,70,51,8,64,.288,.345,.430,.775,.335,1.58
"<a href=""https://www.baseball-reference.com/players/c/crowlte01.shtml"">T. Crowley</a>",BAL,33,266,233,33,67,12,111,50,29,0,21,.288,.364,.476,.840,.374,1.13
"<a href=""https://www.baseball-reference.com/players/c/cruzhe01.shtml"">Hector Cruz</a>",CIN,27,83,75,5,16,1,25,5,8,0,16,.213,.289,.333,.622,.281,0.16
"<a href=""https://www.baseball-reference.com/players/c/cruzjo01.shtml"">Jose Cruz</a>",HOU,32,680,612,79,185,11,261,91,60,36,66,.302,.360,.426,.787,.347,4.78
"<a href=""https://www.baseball-reference.com/players/c/cruzju01.shtml"">Julio Cruz</a>",SEA,25,497,422,66,88,2,109,16,59,45,49,.209,.306,.258,.564,.270,0.00
"<a href=""https://www.baseball-reference.com/players/c/cruzto02.shtml"">Todd Cruz</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecruzto02"" style=""display:none;""></input><label for=""footnotecruzto02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcruzto02"">CAL, CHA</div></span>",24,356,333,28,79,3,104,23,14,2,62,.237,.271,.312,.584,.263,0.00
"<a href=""https://www.baseball-reference.com/players/c/cubbami01.shtml"">Mike Cubbage</a>",MIN,29,318,285,29,70,8,103,42,23,0,37,.246,.301,.361,.663,.296,0.06
