Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/f/fussefr01.shtml"">Fred Fussell</a>",PIT,32,159&‌#8532;,8,9,1,183,79,64,6,41,43,3.608,3.598,1.403,1.05,2.09
"<a href=""https://www.baseball-reference.com/players/g/garricl01.shtml"">Cliff Garrison</a>",BOS,21,16,0,0,0,22,15,14,2,6,0,7.875,5.667,1.750,.00,-.22
"<a href=""https://www.baseball-reference.com/players/g/gastomi01.shtml"">Milt Gaston</a>",WS1,32,148&‌#8532;,6,12,0,179,102,91,3,53,45,5.509,3.606,1.561,.85,-1.05
"<a href=""https://www.baseball-reference.com/players/g/genewjo01.shtml"">Joe Genewich</a>",2,31,239,14,11,3,224,105,93,24,72,52,3.502,4.735,1.238,.72,3.73
"<a href=""https://www.baseball-reference.com/players/g/gibsosa01.shtml"">Sam Gibson</a>",DET,28,119&‌#8532;,5,8,0,155,83,72,4,53,29,5.415,3.955,1.738,.55,-.52
"<a href=""https://www.baseball-reference.com/players/g/goldsha01.shtml"">Hal Goldsmith</a>",BSN,29,8&‌#8531;,0,0,0,14,5,3,2,1,1,3.240,5.854,1.800,1.00,.01
"<a href=""https://www.baseball-reference.com/players/g/goodejo01.shtml"">John Goodell</a>",CHA,21,3,0,0,0,6,6,6,0,2,0,18.000,3.718,2.667,.00,-.18
"<a href=""https://www.baseball-reference.com/players/g/grantge02.shtml"">George Grant</a>",CLE,25,155&‌#8531;,10,8,0,196,102,87,7,76,39,5.041,4.360,1.751,.51,-.17
"<a href=""https://www.baseball-reference.com/players/g/graysa01.shtml"">Sam Gray</a>",SLA,30,262&‌#8532;,20,12,3,256,119,93,11,86,102,3.187,3.640,1.302,1.19,4.99
"<a href=""https://www.baseball-reference.com/players/g/greenju01.shtml"">June Greene</a>",PHI,29,2,0,0,0,5,2,2,0,0,0,9.000,2.901,2.500,&infin;,-.03
"<a href=""https://www.baseball-reference.com/players/g/greenke01.shtml"">Kent Greenfield</a>",BSN,25,143&‌#8532;,3,11,0,173,100,85,6,60,30,5.325,4.156,1.622,.50,.00
"<a href=""https://www.baseball-reference.com/players/g/griffma01.shtml"">Marty Griffin</a>",BOS,26,37&‌#8532;,0,3,0,42,25,21,0,17,9,5.018,3.769,1.566,.53,.32
"<a href=""https://www.baseball-reference.com/players/g/grimebu01.shtml"">Burleigh Grimes</a>",PIT,34,330&‌#8532;,25,14,3,311,146,110,11,77,97,2.994,3.376,1.173,1.26,.00
"<a href=""https://www.baseball-reference.com/players/g/grovele01.shtml"">Lefty Grove</a>",PHA,28,261&‌#8532;,24,8,4,228,93,75,10,64,183,2.580,2.721,1.116,2.86,7.13
"<a href=""https://www.baseball-reference.com/players/h/hadlebu01.shtml"">Bump Hadley</a>",WS1,23,231&‌#8532;,12,13,0,236,105,91,4,100,80,3.535,3.630,1.450,.80,3.91
"<a href=""https://www.baseball-reference.com/players/h/haidha01.shtml"">Hal Haid</a>",SLN,30,47,2,2,5,39,24,12,1,11,21,2.298,2.922,1.064,1.91,.30
"<a href=""https://www.baseball-reference.com/players/h/haineje01.shtml"">Jesse Haines</a>",SLN,34,240&‌#8531;,20,8,0,238,98,85,14,72,77,3.183,3.880,1.290,1.07,4.65
"<a href=""https://www.baseball-reference.com/players/h/hardeme01.shtml"">Mel Harder</a>",CLE,18,49,0,2,1,64,42,36,4,32,15,6.612,5.192,1.959,.47,-.77
"<a href=""https://www.baseball-reference.com/players/h/harrisl01.shtml"">Slim Harriss</a>",BOS,30,128&‌#8531;,8,11,1,141,74,66,5,33,37,4.629,3.537,1.356,1.12,.41
"<a href=""https://www.baseball-reference.com/players/h/hearnbu02.shtml"">Bunny Hearn</a>",BSN,24,10,1,0,0,6,8,7,0,8,8,6.300,3.426,1.400,1.00,-.17
"<a href=""https://www.baseball-reference.com/players/h/heimafr01.shtml"">Fred Heimach</a>",NYA,27,68,2,3,0,66,30,25,3,16,25,3.309,3.364,1.206,1.56,.90
"<a href=""https://www.baseball-reference.com/players/h/henrydu01.shtml"">Dutch Henry</a>",NY1,26,64,3,6,1,82,36,27,4,25,23,3.797,4.098,1.672,.92,.00
