cx,cy,nameascii,adm0name,adm0_a3
457.283,50.7712,Lahti,Finland,FIN
466.4012,47.2008,Joensuu,Finland,FIN
449.7026,51.9716,Turku,Finland,FIN
530.1644,74.6106,Khromtau,Kazakhstan,KAZ
548.9436,74.6731,Arqalyq,Kazakhstan,KAZ
541.6759,68.0506,Oostanay,Kazakhstan,KAZ
540.8157,84.7888,Baykonur,Kazakhstan,KAZ
515.5295,81.7316,Balyqshy,Kazakhstan,KAZ
552.1671,71.1606,Atbasar,Kazakhstan,KAZ
554.5508,67.8747,Kokshetau,Kazakhstan,KAZ
562.4314,75.0661,Temirtau,Kazakhstan,KAZ
550.8829,80.1457,Zhezqazghan,Kazakhstan,KAZ
567.9887,76.4891,Qarqaraly,Kazakhstan,KAZ
566.8446,82.2059,Balqash,Kazakhstan,KAZ
554.1062,64.36240000000001,Petropavlovsk,Kazakhstan,KAZ
579.0255,79.7351,Ayakoz,Kazakhstan,KAZ
574.5135,86.3257,Taldyqorghan,Kazakhstan,KAZ
530.1677,108.1524,Kashmar,Iran,IRN
529.9687,121.6544,Bam,Iran,IRN
527.119,119.0039,Kerman,Iran,IRN
564.132,131.6751,Udaipur,India,IND
551.9608,90.1013,Turkistan,Kazakhstan,KAZ
585.5841,126.8947,Gorakhpur,India,IND
595.5541,134.6752,Barddhaman,India,IND
597.0326,134.3863,Krishnanagar,India,IND
589.1853,131.2305,Gaya,India,IND
555.1066,138.1885,Porbandar,India,IND
271.1175,258.2307,Paysandu,Uruguay,URY
271.3649,256.14189999999996,Salto,Uruguay,URY
195.4766,82.3613,Duluth,United States of America,USA
189.3104,80.8269,Bemidji,United States of America,USA
156.4155,78.4446,Havre,United States of America,USA
146.1045,79.217,Kalispell,United States of America,USA
151.1789,89.7342,Idaho Falls,United States of America,USA
140.1011,83.1765,Lewiston,United States of America,USA
132.347,82.7639,Yakima,United States of America,USA
