cx,cy,nameascii,adm0name,adm0_a3
222.38442799999999,103.1861846153846,Kokomo,United States of America,USA
219.51206000000002,100.56807692307692,Gary,United States of America,USA
224.794016,101.76507692307692,Fort Wayne,United States of America,USA
226.28582,106.54446153846153,Covington,United States of America,USA
221.64009199999998,111.55581538461537,Bowling Green,United States of America,USA
216.46300399999998,111.33310769230768,Paducah,United States of America,USA
220.032296,109.67916923076922,Owensboro,United States of America,USA
243.279188,116.90973846153845,Jacksonville,United States of America,USA
241.92864799999998,115.39956923076923,Goldsboro,United States of America,USA
243.432548,114.85432307692307,Greenville,United States of America,USA
239.79068,116.17086153846154,Fayetteville,United States of America,USA
233.88977599999998,114.5656,Hickory,United States of America,USA
230.978204,114.88232307692307,Asheville,United States of America,USA
236.486096,113.67519999999999,Winston-Salem,United States of America,USA
247.422608,113.74250769230768,Kitty Hawk,United States of America,USA
233.461016,101.7889846153846,Akron,United States of America,USA
227.254256,102.57309230769229,Lima,United States of America,USA
226.859408,113.90199999999999,Oak Ridge,United States of America,USA
221.768288,114.29636923076923,Murfreesboro,United States of America,USA
219.441428,112.6585846153846,Clarksville,United States of America,USA
215.949464,114.84958461538461,Jackson,United States of America,USA
244.07277200000001,107.17543076923076,Alexandria,United States of America,USA
243.20661199999998,108.41292307692308,Fredericksburg,United States of America,USA
237.25052,110.88435384615384,Roanoke,United States of America,USA
238.562072,112.52407692307692,Danville,United States of America,USA
241.51198399999998,106.31766153846154,Winchester,United States of America,USA
231.88605199999998,112.46355384615383,Bristol,United States of America,USA
208.050668,88.26078461538461,Superior,United States of America,USA
217.463408,96.15032307692307,West Bend,United States of America,USA
216.83052800000002,95.31786153846153,Fond du Lac,United States of America,USA
216.601028,94.71543076923076,Oshkosh,United States of America,USA
214.51338800000002,90.8494923076923,Rhinelander,United States of America,USA
218.355272,97.8213846153846,Racine,United States of America,USA
218.790728,92.14115384615384,Marinette,United States of America,USA
235.379096,104.19752307692308,Wheeling,United States of America,USA
237.21585199999998,105.23772307692306,Morgantown,United States of America,USA
231.239564,108.13507692307691,Huntington,United States of America,USA
234.27004399999998,109.66581538461537,Beckley,United States of America,USA
247.80158,104.95901538461538,Wilmington,United States of America,USA
240.08066,105.18183076923076,Cumberland,United States of America,USA
250.499096,105.87256923076922,Atlantic City,United States of America,USA
251.107244,102.67475384615385,Newark,United States of America,USA
251.659556,97.61343076923076,Schenectady,United States of America,USA
246.909824,99.3264923076923,Binghamton,United States of America,USA
248.55498799999998,96.92732307692307,Utica,United States of America,USA
246.927212,94.83496923076922,Watertown,United States of America,USA
239.422508,96.94250769230769,Niagara Falls,United States of America,USA
238.94568800000002,99.33047692307692,Jamestown,United States of America,USA
244.773692,99.3477076923077,Elmira,United States of America,USA
244.965824,104.44026153846153,York,United States of America,USA
239.697908,103.5684923076923,Johnstown,United States of America,USA
247.52358800000002,100.97763076923076,Scranton,United States of America,USA
242.24757200000002,102.45139999999999,State College,United States of America,USA
236.906216,99.25250769230769,Erie,United States of America,USA
247.006808,101.36133846153847,Wilkes Barre,United States of America,USA
265.42977199999996,93.84689230769231,Bar Harbor,United States of America,USA
260.60195600000003,94.53439999999999,Lewiston,United States of America,USA
265.91534,88.08804615384614,Presque Isle,United States of America,USA
228.179168,98.84446153846153,Ann Arbor,United States of America,USA
223.696304,98.86406153846154,Kalamazoo,United States of America,USA
222.10891999999998,96.60790769230769,Muskegon,United States of America,USA
228.257144,97.13872307692307,Flint,United States of America,USA
223.497692,97.25632307692307,Grand Rapids,United States of America,USA
229.21099999999998,98.00295384615383,Pontiac,United States of America,USA
